ScheduledInspectionDate,InspectionID,InspectionSearchID,PropertyType,PropertyID,PropertyName,PropertyStreetAddress,CityState,PropertyZip
2025-02-24 00:00:00,INSP-30615,30615,MFH,800007596,DELMONT PLACE,161 DELMONT DR,"LEXINGTON, KY",40504
2025-03-19 00:00:00,INSP-33253,33253,MFH,800217519,DELTONA GARDENS,2101 Capri Circle,"DELTONA, FL",32738
2025-08-12 00:00:00,INSP-33647,33647,PIH,OR002000132,Demar Downs,2700-2846 SE 148th Ave,"PORTLAND, OR",97236
2025-05-05 00:00:00,INSP-32306,32306,MFH,800112398,Denton Affordable,3821 CAMELOT ST,"Denton, TX",76209
2025-08-20 00:00:00,INSP-32204,32204,MFH,800002987,DENVER SILVERCREST,4595 W ALAMEDA AVE,"DENVER, CO",80219
2025-05-28 00:00:00,INSP-30774,30774,MFH,800219743,Derryfield Village,628 Hanover St,"MANCHESTER, NH",03104
2025-03-13 00:00:00,INSP-30959,30959,MFH,800235475,Desha Elderly,210 Ashley St,"Mc Gehee, AR",71654
2025-03-18 00:00:00,INSP-31029,31029,MFH,800224984,Destiny Towers,4250 N Newton,"Kansas City, MO",64117
,INSP-34027,34027,MFH,800019882,DEUEL MANOR,620 Pheasant Street,"TORONTO, SD",57268
2025-04-04 00:00:00,INSP-32727,32727,MFH,800000230,DEVILLE PLACE,7744 1ST AVE S,"BIRMINGHAM, AL",35206
2025-03-28 00:00:00,INSP-34076,34076,MFH,800010689,DEVIN APARTMENTS,2740A   W. CHICAGO,"Detroit, MI",48206
2025-08-05 00:00:00,INSP-33430,33430,MFH,800001397,DEVONSHIRE APTS,1431 WESCOTT RD,"COLUSA, CA",95932
2025-03-05 00:00:00,INSP-30931,30931,MFH,800211238,DeWitt Village,1308 N Maple St,"Stuttgart, AR",72160
2025-05-14 00:00:00,INSP-32597,32597,PIH,IL048300095,DIAMOND TERRACE/DEAN BARTLE,303 S PERRY Street,"PINCKNEYVILLE, IL",62274
2025-02-24 00:00:00,INSP-32728,32728,MFH,800000231,DICKENS FERRY APTS,6551 DICKENS FERRY RD,"MOBILE, AL",36608
2025-05-15 00:00:00,INSP-33343,33343,MFH,800003867,DIMA  I,2414 Lanside Dr,"WILMINGTON, DE",19810
2025-04-08 00:00:00,INSP-34312,34312,MFH,800003831,DIMA III,820 N Madison St,"WILMINGTON, DE",19801
2025-05-15 00:00:00,INSP-34361,34361,MFH,800211783,DIMA IX,15 Pin Oak Dr,"Dover, DE",19904
2025-03-20 00:00:00,INSP-34357,34357,MFH,800059448,DISABILITIES,AIRPORT RD,"Woodbine, NJ",08270
2025-04-15 00:00:00,INSP-33216,33216,MFH,800223965,DISCIPLES PLACE,3055 STATE HIGHWAY 31 EAST,"TYLER, TX",75702
2025-06-26 00:00:00,INSP-30532,30532,PIH,CO001000050,DISPERSED EAST,1100 W 1550 W Colfax ave Avenue,"DENVER, CO",80204
2025-03-04 00:00:00,INSP-30533,30533,PIH,CO001000051,DISPERSED WEST,201 S YUMA ST,"DENVER, CO",80223
2025-02-21 00:00:00,INSP-30952,30952,MFH,800225056,DIVINE PROVIDENCE,410 Aymond St,"Eunice, LA",70535
2025-04-08 00:00:00,INSP-34174,34174,MFH,800221739,DIXIELAND GARDENS,2205 W. Persimmon,"Rogers, AR",72756
2025-04-28 00:00:00,INSP-30964,30964,MFH,800248920,DIXON AT STONEGATE,2501 Oak Hill Cir,"FORT WORTH, TX",76109
2025-03-07 00:00:00,INSP-30882,30882,MFH,800031530,DOAN CLASSROOM,1350 E 105TH ST,"CLEVELAND, OH",44106
2025-05-05 00:00:00,INSP-30738,30738,MFH,800003339,Dobbs Crossing,1178 Hartford Tpke,"VERNON, CT",06066
2025-09-05 00:00:00,INSP-33897,33897,MFH,800009629,DOCTOR DANFORTH,285 Main St,"NORWAY, ME",04268
2025-04-01 00:00:00,INSP-33362,33362,MFH,800015047,DOCTOR'S PATH,641 DOCTORS PATH,"RIVERHEAD, NY",11901
2025-03-10 00:00:00,INSP-32986,32986,MFH,800006202,Dogwood,1625 FEDERAL,"PERRY, IL",62362
2025-04-08 00:00:00,INSP-32511,32511,MFH,800022214,DOGWOOD GLEN,DOGWOOD GLEN DRIVE,"NORTHFIELD, VT",05663
2025-04-08 00:00:00,INSP-32249,32249,MFH,800213328,Dogwood Plaza,1755 N. Linda Vista Lane,"BOISE, ID",83704
2025-05-30 00:00:00,INSP-32745,32745,MFH,800004717,Dogwood Retirement,101 S Columbia ST,"MILLEDGEVILLE, GA",31061
2025-03-11 00:00:00,INSP-32869,32869,MFH,800021787,DOGWOOD VIEW,101 Sila Court,"NASSAWADOX, VA",23413
2025-03-06 00:00:00,INSP-31969,31969,PIH,NJ005000003,DONNELLY HOMES,875  NEW WILLOW Street,"TRENTON, NJ",08638
2025-06-09 00:00:00,INSP-33573,33573,PIH,IN011000010,DORIE MILLER,1722 E 21ST Avenue,"Gary, IN",46407
2025-05-30 00:00:00,INSP-32448,32448,MFH,800001411,DORIE MILLER MANOR,945 E 120TH ST,"LOS ANGELES, CA",90059
2025-04-23 00:00:00,INSP-32617,32617,PIH,MA002000242,Doris Bunte Apartments,1990  COLUMBUS Avenue,"ROXBURY, MA",02119
2025-03-12 00:00:00,INSP-30696,30696,MFH,800018366,DORMONT PLACE,2900 BELROSE AVE,"DORMONT, PA",15216
2025-05-27 00:00:00,INSP-30760,30760,MFH,800013793,Douglas Street,307 Douglas St,"MANCHESTER, NH",03102
2025-08-15 00:00:00,INSP-33767,33767,MFH,800221386,Douglas/Elkhorn,148 Douglas Parkway,"PIKEVILLE, KY",41501
2025-02-27 00:00:00,INSP-31036,31036,MFH,800010873,DOVER HILL,2400-2564  RHODE ISLAND AVE N,"Golden Valley, MN",55427
,INSP-33602,33602,PIH,MN078000001,DOW TOWERS,22  5TH Avenue S,"HOPKINS, MN",55343
2025-04-17 00:00:00,INSP-31932,31932,PIH,MI105000001,DOWNES MANOR,13725  JOHN R Street,"HIGHLAND PARK, MI",48203
,INSP-33510,33510,PIH,AL002000019,DOWNTOWN RENAISSANCE I LP,350 Bloodgood Street,"MOBILE, AL",36603
2025-06-26 00:00:00,INSP-33931,33931,MFH,800005854,DOYLE FAMILY,1 S OGLE  APT 1 ST,"MOUNT MORRIS, IL",61054
,INSP-32916,32916,MFH,800008452,DRACUT HA/Hanson,971 MAMMOTH RD,"DRACUT, MA",01826
2025-07-22 00:00:00,INSP-32303,32303,MFH,800070290,Dripping Springs,903 Second Street,"Pangburn, AR",72121
2025-03-13 00:00:00,INSP-33967,33967,MFH,800022972,DRIVE IN/HIGHVIEW,1023 Main St,"Darlington, WI",53530
2025-06-11 00:00:00,INSP-32449,32449,MFH,800001422,Duarte Manor,1235 N. HIGHLAND AVE,"DUARTE, CA",91010
2025-04-22 00:00:00,INSP-32679,32679,PIH,NY048000002,DUBOIS GARDENS,181  WEST Street,"gloversville, NY",12078
,INSP-32051,32051,MFH,800012086,DUBOSE APARTMENTS,1201 Dubose St,"Ellisville, MS",39437
2025-09-02 00:00:00,INSP-33246,33246,MFH,800019555,DUNCAN VILLAGE,100 Duncan Street,"DUNCAN, SC",29334
2025-08-18 00:00:00,INSP-34337,34337,MFH,800015027,DUNN TOWER,100 DUNN  TOWER DRIVE,"ROCHESTER, NY",14606
2025-03-04 00:00:00,INSP-32973,32973,MFH,800217851,D'YOUVILLE ELDERLY,975 Varnum Avenue,"LOWELL, MA",01854
2025-07-09 00:00:00,INSP-32147,32147,MFH,800008609,E Henry Twiggs,9 KENYON ST,"SPRINGFIELD, MA",01109
2025-03-27 00:00:00,INSP-30575,30575,PIH,PA005000001,E R CRAWFORD VILLAGE,2901 Brownlee Ave.,"McKeesport, PA",15132
2025-03-31 00:00:00,INSP-34106,34106,MFH,800211630,E. RAYFORD SENIOR,1961 East Empire Avenue,"Benton Harbor, MI",49022
2025-07-25 00:00:00,INSP-33152,33152,MFH,800235378,EAGLE CREEK APTS.,216 MYRON STREET,"HUBBARD, OH",44424
2025-03-03 00:00:00,INSP-31013,31013,MFH,800011657,EAGLE RIDGE,601 W 25th St,"Joplin, MO",64804
,INSP-32800,32800,MFH,800066282,Eagle Wing Estates,85 Jacksonwood Ct,"HATTIESBURG, MS",39401
2025-05-12 00:00:00,INSP-33275,33275,MFH,800011557,EAGLES LANDING,13 Conn St,"East Prairie, MO",63845
,INSP-34141,34141,MFH,800017547,EAGLE'S NEST APTS.,1225 E. KENOSHA STREET,"BROKEN ARROW, OK",74012
,INSP-31993,31993,PIH,OH014000024,EARL F RODGERS PLAZA,451 S 5TH Street,"STEUBENVILLE, OH",43952
2025-04-09 00:00:00,INSP-32162,32162,MFH,800013882,EARL M. BOURDON,67 Maple Ave,"Claremont, NH",03743
2025-03-17 00:00:00,INSP-31078,31078,MFH,800055431,East 21st Street,804 EAST 21st. ST.,"Brooklyn, NY",11210
2025-07-24 00:00:00,INSP-33691,33691,MFH,800000239,EAST ALABAMA GROUP,601  MARION AVE,"OPELIKA, AL",36801
2025-08-13 00:00:00,INSP-33431,33431,MFH,800001429,East Bay Transit,2787 79th Ave,"OAKLAND, CA",94605
2025-07-22 00:00:00,INSP-33932,33932,MFH,800005860,EAST FORK,1201 N EAST ST,"OLNEY, IL",62450
,INSP-30697,30697,MFH,800018374,East Hills West,2115 Park Hill Drive,"PITTSBURGH, PA",15221
2025-02-18 00:00:00,INSP-32969,32969,MFH,800112163,EAST MOUNTAIN VIEW,138 E Mountain Rd,"WESTFIELD, MA",01085
2025-03-10 00:00:00,INSP-33597,33597,PIH,MI031000001,EAST PARK MANOR,615 E HOVEY Avenue,"MUSKEGON HEIGHTS, MI",49444
2025-03-05 00:00:00,INSP-33582,33582,PIH,LA072000001,EAST PROJECT ST.,"537 E. PROJECT, POBox 131","SIMMESPORT, LA",71369
,INSP-32394,32394,MFH,800014941,East River,109-121 E 130th ST.,"New York, NY",10037
2025-07-31 00:00:00,INSP-31999,31999,PIH,OH031000001,EAST SIDE DEVELOPMENTS,2832  STATE ROUTE 59,"RAVENNA, OH",44266
2025-02-20 00:00:00,INSP-33562,33562,PIH,IA006000001,EAST SIDE VILLAGE,401 E LINN Street,"LONE TREE, IA",52755
2025-03-10 00:00:00,INSP-34143,34143,MFH,800017605,EAST TERRACE,1501 Bradley Ave,"Ponca City, OK",74604
2025-03-19 00:00:00,INSP-34032,34032,MFH,800020034,EAST VIEW,605 Court Street.,"FAULKTON, SD",57438
2025-07-23 00:00:00,INSP-33432,33432,MFH,800001433,East Yolo Manor,500 6TH STREET,"WEST SACRAMENTO, CA",95605
2025-04-07 00:00:00,INSP-34338,34338,MFH,800015073,EASTERN PARKWAY,1366 EASTERN PKY,"Brooklyn, NY",11233
2025-03-12 00:00:00,INSP-32870,32870,MFH,800021796,Eastern Shore Arc,36128 INDIAN LN,"BELLE HAVEN, VA",23306
,INSP-34169,34169,MFH,800217697,Eastgate,302 Main St,"Hughes, AR",72348
2025-05-28 00:00:00,INSP-34232,34232,MFH,800007199,EASTGATE PLAZA,302 S East St,"Emporia, KS",66801
2025-06-12 00:00:00,INSP-32845,32845,MFH,800018384,EASTON SENIOR,127 S 4TH ST,"EASTON, PA",18042
2025-03-14 00:00:00,INSP-30969,30969,MFH,800004060,EASTSIDE GARDEN,1212 E FIRST ST,"JACKSONVILLE, FL",32206
2025-04-08 00:00:00,INSP-32052,32052,MFH,800012096,Eastview,100 EASTVIEW ST,"BALDWYN, MS",38824
,INSP-32589,32589,PIH,IA020000002,EASTVIEW MANOR,"3700 E 31ST Street, Scattered Site","Des Moines, IA",50317
2025-04-08 00:00:00,INSP-31053,31053,MFH,800014105,EASTVIEW TOWERS,370 Fairview Ave,"FAIRVIEW, NJ",07022
2025-09-09 00:00:00,INSP-32341,32341,MFH,800019803,Eastwood,106 GIBSON CIR,"BENNETTSVILLE, SC",29512
2025-03-31 00:00:00,INSP-33289,33289,MFH,800013574,Eastwood,1001 E Hynes Ave,"Oneill, NE",68763
2025-03-04 00:00:00,INSP-34273,34273,MFH,800010891,EBENEZER RIDGE,13800 COMMUNITY DR,"BURNSVILLE, MN",55337
2025-07-23 00:00:00,INSP-34226,34226,MFH,800005267,ECHO,302 NE 8th St.,"Leon, IA",50144
2025-05-06 00:00:00,INSP-33433,33433,MFH,800001439,Ecology House,375 CATALINA BLVD,"SAN RAFAEL, CA",94901
2025-03-18 00:00:00,INSP-34451,34451,MFH,800221246,Edenvale,5340 Monterey Hwy,"SAN JOSE, CA",95111
,INSP-33780,33780,MFH,800245110,Edgefield Manor,525 Shelby Ave,"NASHVILLE, TN",37206
2025-05-06 00:00:00,INSP-33782,33782,MFH,800246493,Edgemont Elms,912 Angier Ave,"DURHAM, NC",27701
2025-05-29 00:00:00,INSP-33655,33655,PIH,PA007000019,Edgemont Senior Apartments,1001 Avenue of the States,"CHESTER, PA",19013
2025-03-06 00:00:00,INSP-32506,32506,MFH,800008459,EDGEWATER APTS,101 LOWELL ST,"SPRINGFIELD, MA",01107
,INSP-33533,33533,PIH,DC001001460,EDGEWOOD TERRACE SENIORS DEVELOPMENT,"635 EDGEWOOD STREET, NE","WASHINGTON, DC",20017
2025-08-11 00:00:00,INSP-32332,32332,MFH,800019101,Edificio Manuel,STATE ROAD111 #50  BORINQUEN ST,"AGUADILLA, PR",00603
2025-03-05 00:00:00,INSP-34355,34355,MFH,800058178,EDISON CONSUMER,337 Plainfield Avenue,"EDISON, NJ",08817
2025-08-04 00:00:00,INSP-32487,32487,MFH,800112260,Edith Street,167 Edith St,"PETALUMA, CA",94952
2025-03-24 00:00:00,INSP-34031,34031,MFH,800019959,Edmonton Heights,628 E 6TH ST,"GREGORY, SD",57533
,INSP-30616,30616,MFH,800007614,EDMONTON MANOR,125 BUSHONG LN,"EDMONTON, KY",42129
2025-04-22 00:00:00,INSP-32954,32954,MFH,800019317,EDWARD COONEY,982 BRANCH AVE,"PROVIDENCE, RI",02904
2025-04-16 00:00:00,INSP-32316,32316,MFH,800232530,Edwards,1609 Robertson St,"Gonzales, TX",78629
2025-03-18 00:00:00,INSP-30827,30827,MFH,800017868,EIGHTH STREET,20-1 S 8TH ST,"CENTRAL POINT, OR",97502
2025-06-11 00:00:00,INSP-33673,33673,PIH,TX019000004,EL CENTENARIO,2095 E. Main St.,"Eagle Pass, TX",78852
2025-05-14 00:00:00,INSP-34462,34462,MFH,800250015,El Centro,101 State St,"Reno, NV",89501
2025-05-14 00:00:00,INSP-34139,34139,MFH,800014567,EL PASEO VILLAGE,420 COAL ST SE,"ALBUQUERQUE, NM",87102
,INSP-33187,33187,MFH,800020857,EL REDENTOR,8800 FREY RD,"Houston, TX",77034
,INSP-33206,33206,MFH,800112202,EL REDENTOR,8815 Frey Rd,"Houston, TX",77034
2025-05-22 00:00:00,INSP-33434,33434,MFH,800001457,El Sobrante,4630 APPIAN WAY,"EL SOBRANTE, CA",94803
2025-09-05 00:00:00,INSP-32042,32042,MFH,800004743,Elderwood Homes,479 Jones Street,"BAXLEY, GA",31513
2025-05-09 00:00:00,INSP-33812,33812,MFH,800018393,ELHOME,7021 Kelly Street,"PITTSBURGH, PA",15208
2025-06-13 00:00:00,INSP-33674,33674,PIH,TX019000006,Elia G Santos,2350 DAISY E. DIAZ #449,"Eagle Pass, TX",78852
,INSP-33576,33576,PIH,KY047000001,ELIZABETH  WILLIAMS TERRACE,400 INGRAM Avenue,"CAMPBELLSVILLE, KY",42718
,INSP-33577,33577,PIH,KY047000002,ELIZABETH  WILLIAMS TERRACE,400 INGRAM Avenue,"CAMPBELLSVILLE, KY",42718
2025-06-20 00:00:00,INSP-33772,33772,MFH,800224885,Elkhorn City Phase,551 Russell Street,"Elkhorn City, KY",41522
2025-03-13 00:00:00,INSP-32591,32591,PIH,IL002060000,Ella Flagg Young Apartments,4645 N SHERIDAN RD,"Chicago, IL",60640
2025-03-07 00:00:00,INSP-33391,33391,MFH,800054840,ELLERY COURT,327 Ellery St,"Brooklyn, NY",11206
2025-04-10 00:00:00,INSP-34339,34339,MFH,800015088,Ellicott Place,1033 ELLICOTT ST,"BUFFALO, NY",14209
2025-04-15 00:00:00,INSP-32383,32383,MFH,800014113,ELLIOTT HOUSE,710 N. NEW YORK AVE,"ATLANTIC CITY, NJ",08401
2025-02-26 00:00:00,INSP-33933,33933,MFH,800005881,Elliott-Pearson,405 E. Walnut,"CHATSWORTH, IL",60921
2025-07-07 00:00:00,INSP-32967,32967,MFH,800057483,ELM COURT,101 MULBERRY STREET,"SPRINGFIELD, MA",01103
2025-06-17 00:00:00,INSP-31023,31023,MFH,800213067,Elm Street Home,511 Elm St,"Webster City, IA",50595
2025-04-25 00:00:00,INSP-32433,32433,MFH,800248874,ELMCREST,99 Lewis St,"GENEVA, NY",14456
2025-04-15 00:00:00,INSP-32258,32258,MFH,800010086,ELMTREE APTS,2020 ELMHURST,"Detroit, MI",48206
2025-03-19 00:00:00,INSP-30644,30644,MFH,800012826,ELMWOOD APARTMENTS,616  OAKWOOD ST,"MEBANE, NC",27302
2025-09-02 00:00:00,INSP-32034,32034,MFH,800000244,ELMWOOD APTS,1410 ELM ST E,"ATHENS, AL",35611
2025-04-25 00:00:00,INSP-33835,33835,MFH,800021807,ELMWOOD HOUSE,550 N MADISON ST,"ARLINGTON, VA",22203
2025-02-26 00:00:00,INSP-31158,31158,MFH,800010087,ELMWOOD PARK,1030 Woodale Lane,"LANSING, MI",48917
2025-03-28 00:00:00,INSP-32308,32308,MFH,800213348,ELTON HOUSE,350 Raymond Church Rd,"Elton, LA",70532
2025-08-20 00:00:00,INSP-31809,31809,PIH,AL001000001,ELYTON VILLAGE,428 Center Street,"BIRMINGHAM, AL",35204
2025-04-09 00:00:00,INSP-33030,33030,MFH,800005669,Emerald Court,555 N Butte AVE,"EMMETT, ID",83617
,INSP-31820,31820,PIH,AL002000013,EMERSON GARDENS,759  PALMETTO Street,"MOBILE, AL",36603
2025-04-18 00:00:00,INSP-32828,32828,MFH,800009207,EMERSON HOUSE APTS,5999 EMERSON STREET,"BLADENSBURG, MD",20710
2025-03-21 00:00:00,INSP-33875,33875,MFH,800237654,EMORY SENIOR,324 N. Beatty Street,"PITTSBURGH, PA",15206
2025-05-21 00:00:00,INSP-33397,33397,MFH,800212945,Encore West,755 Tenth Ave,"New York, NY",10019
2025-03-20 00:00:00,INSP-34472,34472,MFH,800005887,Englewood Gardens,6950 South Vincennes,"Chicago, IL",60621
2025-04-01 00:00:00,INSP-32263,32263,MFH,800016500,ENGLEWOOD VILLAGE,1000 TAYWOOD RD,"Englewood, OH",45322
2025-03-26 00:00:00,INSP-33813,33813,MFH,800018402,ENON TOLAND APTS,245 W QUEEN LN,"Philadelphia, PA",19144
2025-04-18 00:00:00,INSP-33116,33116,MFH,800016533,ERIE VILLAGE,221 RYE BEACH RD,"HURON, OH",44839
2025-05-19 00:00:00,INSP-31165,31165,MFH,800014678,ESCONDIDO,5258 S MARYLAND PKY,"LAS VEGAS, NV",89119
2025-05-27 00:00:00,INSP-32450,32450,MFH,800001472,ESCONDIDO APTS,500 N MIDWAY DR,"ESCONDIDO, CA",92027
2025-04-01 00:00:00,INSP-32315,32315,MFH,800221788,ESCT Austin,1201 Grove Blvd Apt 504,"AUSTIN, TX",78741
2025-08-05 00:00:00,INSP-33436,33436,MFH,800001535,Eskaton Frank,232 E Carson St,"COLUSA, CA",95932
2025-03-12 00:00:00,INSP-30978,30978,MFH,800019108,ESPIRITU SANTO,RFD 173 KM 0.5,"AGUAS BUENAS, PR",00703
2025-05-05 00:00:00,INSP-32278,32278,MFH,800000597,Ester Park,2112 ESTER ST,"NEWPORT, AR",72112
2025-08-08 00:00:00,INSP-32451,32451,MFH,800001479,Eureka Central,333 E ST,"EUREKA, CA",95501
2025-02-24 00:00:00,INSP-32047,32047,MFH,800007620,EUREKA SPRINGS,629 EUREKA SPRINGS DR,"LEXINGTON, KY",40502
2025-07-07 00:00:00,INSP-32616,32616,PIH,MA002000241,EVA WHITE APARTMENTS,440  TREMONT Street,"BOSTON, MA",02116
